,iteration,metric,value,index,hyperparameters
0,full_train_raw_first_shot,,0.6816,model_name_or_path,sentence-transformers/paraphrase-mpnet-base-v2
1,eval_raw_first_shot,,0.669078947368421,dataset,SetFit/ag_news
2,data_selector,1,0.90625,train_dataset_size,5000
3,full_train_setfit_iteration,1,0.7484,random_seed,333
4,cur_train_setfit_iteration,1,0.90625,dataset_train_split,train
5,full_train_first_shot_iteration,1,0.7312,dataset_test_split,test
6,eval_first_shot_iteration,1,0.718421052631579,hypothesis_template,{}
7,eval_setfit_iteration,1,0.748157894736842,multi_target_strategy,None
8,data_selector,2,0.875,use_differentiable_head,False
9,full_train_setfit_iteration,2,0.742,num_iterations,20
10,cur_train_setfit_iteration,2,0.875,num_setfit_iterations,2
11,full_train_first_shot_iteration,2,0.7756,num_epochs,1
12,eval_first_shot_iteration,2,0.769342105263157,samples_per_label,4
13,eval_setfit_iteration,2,0.738289473684210,normalize_embeddings,False
14,data_selector,3,0.8984375,selection_strategy,tn
15,full_train_setfit_iteration,3,0.7474,batch_size,8
16,cur_train_setfit_iteration,3,0.8984375,var_samples_per_label,None
17,full_train_first_shot_iteration,3,0.7884,var_selection_strategy,None
18,eval_first_shot_iteration,3,0.780921052631579,learning_rate,2e-05
19,eval_setfit_iteration,3,0.746184210526315,body_learning_rate,1e-06
20,data_selector,4,0.921875,num_body_epochs,2
21,full_train_setfit_iteration,4,0.765,freeze_head,False
22,cur_train_setfit_iteration,4,0.921875,freeze_body,False
23,full_train_first_shot_iteration,4,0.7986,train_first_shot,False
24,eval_first_shot_iteration,4,0.794210526315789,allow_resampling,False
25,eval_setfit_iteration,4,0.764210526315789,growth_rate,2
26,,,,growth_threshold,0.05
27,,,,starting_n,8
28,,,,cluster_permissiveness,100.
