,iteration,metric,value,index,hyperparameters
0,full_train_raw_first_shot,,0.6796,model_name_or_path,sentence-transformers/paraphrase-mpnet-base-v2
1,eval_raw_first_shot,,0.669078947368421,dataset,SetFit/ag_news
2,data_selector,1,0.8125,train_dataset_size,5000
3,full_train_setfit_iteration,1,0.7334,random_seed,222
4,cur_train_setfit_iteration,1,0.8125,dataset_train_split,train
5,full_train_first_shot_iteration,1,0.7284,dataset_test_split,test
6,eval_first_shot_iteration,1,0.711447368421052,hypothesis_template,{}
7,eval_setfit_iteration,1,0.732763157894736,multi_target_strategy,None
8,data_selector,2,0.703125,use_differentiable_head,False
9,full_train_setfit_iteration,2,0.7228,num_iterations,20
10,cur_train_setfit_iteration,2,0.703125,num_setfit_iterations,2
11,full_train_first_shot_iteration,2,0.7604,num_epochs,1
12,eval_first_shot_iteration,2,0.753552631578947,samples_per_label,4
13,eval_setfit_iteration,2,0.715394736842105,normalize_embeddings,False
14,data_selector,3,0.7890625,selection_strategy,alternate
15,full_train_setfit_iteration,3,0.7464,batch_size,8
16,cur_train_setfit_iteration,3,0.7890625,var_samples_per_label,None
17,full_train_first_shot_iteration,3,0.7786,var_selection_strategy,None
18,eval_first_shot_iteration,3,0.772236842105263,learning_rate,2e-05
19,eval_setfit_iteration,3,0.740131578947368,body_learning_rate,1e-06
20,data_selector,4,0.84375,num_body_epochs,2
21,full_train_setfit_iteration,4,0.7888,freeze_head,False
22,cur_train_setfit_iteration,4,0.84375,freeze_body,False
23,full_train_first_shot_iteration,4,0.7962,train_first_shot,False
24,eval_first_shot_iteration,4,0.786578947368421,allow_resampling,False
25,eval_setfit_iteration,4,0.781578947368421,growth_rate,2
26,data_selector,5,0.865234375,growth_threshold,0.05
27,full_train_setfit_iteration,5,0.7952,starting_n,8
28,cur_train_setfit_iteration,5,0.865234375,cluster_permissiveness,100.
29,full_train_first_shot_iteration,5,0.7972,,
30,eval_first_shot_iteration,5,0.787368421052631,,
31,eval_setfit_iteration,5,0.787368421052631,,
